title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Abdominal Crunches Straight Legs (Weight Plate),/exercise/11,https://app.strength.muscleandmotion.com/exercise/11,Rectus Abdominis,External Oblique; Internal Oblique,Pelvic Diaphragm; Transversus Abdominis; Iliacus; Psoas Major,"We hold the dumbbells behind the head with the head resting on the dumbbells. The straight legs mirror a standing position. Straightening the legs stabilizes the pelvis and does not allow it to tilt to the rear easily, and thus prevents full flexion of the lumbar spine. The obliques (pink) assist in flexion, and the transverse is pulled slightly inward to maintain intra-abdominal pressure.",Dumbbell
Abdominal Stretch,/exercise/14,https://app.strength.muscleandmotion.com/exercise/14,,Erector Spinae; Diaphragm,,"Lie on your back, arms above the head on the floor (if possible), inhale, inflate the chest cavity and at the same time rotate the pelvis forward (increase the lumbar arch)",
Abdominal Twist,/exercise/15,https://app.strength.muscleandmotion.com/exercise/15,,,,,
Adaptive Muscle-up (Rings),/exercise/1221,https://app.strength.muscleandmotion.com/exercise/1221,"Latissimus Dorsi (Respiration); Triceps Brachii; Anterior Deltoid; Pectoralis Major, Clavicular Head",Multifidus; Rhomboid Muscles; Biceps Brachii; Trapezius; Psoas Major; Iliacus,Deltoid; Quadriceps Femoris; Abdominal Muscles; Rectus Abdominis,The Adaptive Muscle-up with rings is a preparatory exercise that will help you learn how to transition between the pull-up and the dip. Place a set of gymnastic rings slightly lower than your shoulder height. Grasp the rings in a false grip and place your legs on a step-up or box in front of you. Your body should be positioned horizontally. Start by pulling the rings down toward your chest and then move your chest over the rings and transition to the bottom dip position. Push yourself up as if you're doing a dip and repeat.,
Adaptive Muscle-up 2 (Rings),/exercise/1222,https://app.strength.muscleandmotion.com/exercise/1222,Latissimus Dorsi; Triceps Brachii; Pectoralis Major; Anterior Deltoid,Posterior Deltoid; Teres Major; Iliacus; Psoas Major; Rhomboid Muscles; Biceps Brachii; Quadriceps Femoris; Brachialis; Brachioradialis; Coracobrachialis,Abdominal Muscles; Trapezius,"This variation of the Adaptive Muscle-up with rings is another preparatory exercise that will help you learn how to transition between the pull-up and the dip. Placing your legs on the ground will decrease your body weight and make it easier to pull yourself up and transition to the bottom of the dip. Place a set of gymnastic rings slightly lower than your shoulder height. Start by kneeling and grasping the rings in a false grip. Continue to do the same as you would in a classic muscle-up, but push your body with your legs to assist in the transition phase.",
Alternate Wave Squat (Battle Rope),/exercise/793,https://app.strength.muscleandmotion.com/exercise/793,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius; Anterior Deltoid; Latissimus Dorsi; Brachioradialis,External Oblique; Internal Oblique; Biceps Brachii; Brachialis; Pectoralis Major; Hamstrings; Serratus Anterior; Triceps Brachii; Teres Major; Trapezius,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm; Gluteus Medius,,Battle Rope
Alternate-leg Bounding,/exercise/740,https://app.strength.muscleandmotion.com/exercise/740,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius; Psoas Major; Iliacus,Hamstrings; Soleus; Flexor Hallucis Longus; Flexor Digitorum Longus; Tibialis Posterior; Anterior Deltoid; Middle Deltoid,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,The emphasis of this exercise should be on taking long strides aiming for maximum power and minimum ground contact time on each step.,
Alternating Bicep Curl (Dumbbell),/exercise/1472,https://app.strength.muscleandmotion.com/exercise/1472,Biceps Brachii,Brachialis; Brachioradialis,Lower Trapezius; Wrist Flexors; Erector Spinae,"Stand upright with a dumbbell in each hand and your elbows close to your torso. Begin by curling one arm upward while slowly lowering the opposite arm simultaneously. Alternate sides continuously, ensuring that one bicep is always under load, either concentrically or eccentrically. Maintain control throughout the movement and avoid swinging or using momentum. Repeat for the desired number of repetitions on each arm.",Dumbbell
Alternating Shoulder Press (Kettlebell),/exercise/1200,https://app.strength.muscleandmotion.com/exercise/1200,Middle Deltoid; Anterior Deltoid,"Triceps Brachii; Serratus Anterior; Upper Trapezius; Lower Trapezius; Pectoralis Major, Clavicular Head",Erector Spinae; Abdominal Muscles,"The Kettlebell Alternating Shoulder Press is a dynamic asymmetrical exercise designed to strengthen your shoulder muscles. Start by standing with your feet shoulder-width apart. Grab a kettlebell in each hand and bring the kettlebells up to a front racked position. Press one kettlebell overhead until your elbow joint is locked out. Then, slowly lower the kettlebell back to the front racked position, while starting the movement with the opposite arm. What’s unique about this variation of the shoulder press, is that by alternating the presses, the core muscles are fully engaged, working to keep the body stable while the alternating presses shift the weight from side to side.",Kettlebell
Alternating Stair Jump,/exercise/1420,https://app.strength.muscleandmotion.com/exercise/1420,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius,Hamstrings; Soleus; Adductor Longus; Flexor Hallucis Longus; Flexor Digitorum Longus; Tibialis Posterior,Abdominal Muscles,"The Alternating Stair Jump is a plyometric exercise that can be performed to improve lower limb power. Stand tall with one foot on the stairs in front of you. Keep your core braced, drive through your foot, and push your body up with enough force for both feet to leave the stairs. As soon as you are up in the air, switch between your feet as you land into a lunge position. Repeat for the desired number of repetitions alternating between your legs.",
Alternating Toe Touch,/exercise/1327,https://app.strength.muscleandmotion.com/exercise/1327,External Oblique; Internal Oblique; Rectus Abdominis; Iliacus; Psoas Major,Tensor Fasciae Latae,Transversus Abdominis,"The Alternating Toe Touch is a curl-up variation that strengthens your core and hip flexor muscles while keeping the lower back on the ground. Lie on your back on an exercise mat with your arms extended straight back behind your head. ‎ In one smooth motion, lift your upper back off the floor and reach with one hand toward the opposite leg. Hold this position for a second before returning to the starting position. Repeat the movement, alternating arms and legs each time. ‎ Make sure to keep your abdominal muscles engaged throughout the entire exercise.",
Alternating V Up,/exercise/1299,https://app.strength.muscleandmotion.com/exercise/1299,Rectus Abdominis; External Oblique; Iliacus; Psoas Major; Internal Oblique,Quadriceps Femoris; Sartorius; Tensor Fasciae Latae,Transversus Abdominis,"Lie on your back on an exercise mat with your arms extended straight back behind your head. In one smooth motion, lift your torso and reach with one hand toward the opposite leg. Hold this position for a second before returning to the starting position. Repeat the movement, alternating between legs each time.",
Alternating Wave (Battle Rope),/exercise/787,https://app.strength.muscleandmotion.com/exercise/787,Latissimus Dorsi; Anterior Deltoid,Teres Major; Pectoralis Major; Posterior Deltoid; Rhomboid Muscles; Trapezius; Biceps Brachii; Brachialis; Triceps Brachii; External Oblique; Internal Oblique,Gluteus Maximus; Quadriceps Femoris; Erector Spinae; Abdominal Muscles,"This rope exercise strengthens most of the muscles in the body, with an emphasis on the upper body. This rope training is a great way to improve upper body endurance and core strength.",Battle Rope
Alternating Wave with Lunge (Battle Rope),/exercise/796,https://app.strength.muscleandmotion.com/exercise/796,Quadriceps Femoris; Gluteus Maximus; Anterior Deltoid; Brachioradialis; Gastrocnemius,Abdominal Muscles; Biceps Brachii; Brachialis; Pectoralis Major (Respiration); Hamstrings; Serratus Anterior; Trapezius,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,,Battle Rope
Alternating Wave with Side Lunge (Battle Rope),/exercise/794,https://app.strength.muscleandmotion.com/exercise/794,Gluteus Maximus; Quadriceps Femoris; Anterior Deltoid; Brachioradialis; Gastrocnemius; Latissimus Dorsi,Trapezius; Hamstrings; Biceps Brachii; Triceps Brachii; Brachialis; External Oblique; Internal Oblique; Latissimus Dorsi; Teres Major; Multifidus; Gluteus Medius,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,,Battle Rope
Anderson Back Squat,/exercise/1043,https://app.strength.muscleandmotion.com/exercise/1043,Gluteus Maximus; Quadriceps Femoris,Gastrocnemius; Soleus,Erector Spinae; Abdominal Muscles; Gluteus Medius; Diaphragm; Pelvic Diaphragm; Trapezius,"The Anderson Squat or Pin Squat is a back squat in which the barbell starts in a low position, supported by a rack or blocks, and the trainee begins the lift from a dead stop with a concentric rather than an eccentric movement. In the classic squat, the transition from lowering to raising the body creates a stretch-shortening cycle in which it’s possible to store energy that assists in the push upward. Place the squat rack bars at waist height and set the barbell across the bars. Get under the bar and stand with legs a bit wider than shoulder-width and bent knees. Stand straight up with the bar on your shoulders, lower the weight back down onto the squat rack bars for a second and then go into your next rep.",Barbell
Anderson Front Squat,/exercise/1040,https://app.strength.muscleandmotion.com/exercise/1040,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gastrocnemius; Soleus,Erector Spinae; Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Trapezius; Deltoid,"The Anderson Squat or Pin Squat is a front squat in which the barbell starts in a low position, supported by a rack or blocks, and the trainee begins the lift from a dead stop with a concentric rather than an eccentric movement. In the classic squat, the transition from lowering to raising the body creates a stretch-shortening cycle in which it’s possible to store energy that assists in the push upward. Place the squat rack bars at waist height and set the barbell across the bars. Get under the bar and stand with legs a bit wider than shoulder-width and bent knees. Stand straight up with the bar on your shoulders, lower the weight back down onto the squat rack bars for a second and then go into your next rep.",Barbell
Anterior Shoulder & Chest Stretch Using a Bar,/exercise/225,https://app.strength.muscleandmotion.com/exercise/225,,,,"Grab pole wider than shoulder width apart, place behind head and hold",
Anti-rotation Reverse Lunge (Cable),/exercise/1191,https://app.strength.muscleandmotion.com/exercise/1191,Gluteus Maximus; Quadriceps Femoris; External Oblique; Internal Oblique,Hamstrings; Gastrocnemius,External Oblique; Internal Oblique; Pectoralis Major (Respiration); Gluteus Medius,"The Anti-Rotation Reverse Lunge helps to strengthen your leg and your abdominal muscles due to the applied asymmetrical forces on the body. Put the cable pulley at about chest-height, and stand with it directly to the left of the body. Grip a handle with both hands, straighten the arms out in front, keep your back straight and tall, while simultaneously stepping backwards into a lunge with the left foot so the left knee is close to the ground. Push off the right foot and bring the left leg forward to return to standing. Repeat on the other side.",Cable
Anti-rotational Supine Bicycle,/exercise/1136,https://app.strength.muscleandmotion.com/exercise/1136,Abdominal Muscles; Iliacus; Psoas Major,Tensor Fasciae Latae; Sartorius,External Oblique; Internal Oblique; Pectoralis Major; Pelvic Diaphragm; Diaphragm,"Place a resistance band at a low height, hold both ends of the band, and lie on your back with your body perpendicular to the band. Raise the arms while keeping the band slightly stretched. Now, place your lower back on the floor and lift the legs as in a cycling motion. One force comes from the legs’ weight that pulls the pelvis and tilts it anteriorly. The second force comes from the resistance band that rotates the spine.",Resistance Band
Archer Bodyweight Row (Bar),/exercise/1329,https://app.strength.muscleandmotion.com/exercise/1329,Latissimus Dorsi (Respiration); Posterior Deltoid,"Trapezius; Rhomboid Muscles; Biceps Brachii; Brachialis; Biceps Brachii, short head; Triceps Brachii",Gluteus Maximus; Hamstrings,"Set the bar at chest height, adjusting the height based on your preferred difficulty level. Lowering the bar increases the challenge. Stand facing the bar and firmly grip it with both hands, ensuring they are positioned shoulder-width apart. Keep your elbows extended and maintain a straight and elongated body position. Initiate the movement by pulling your chest towards the bar while ensuring your spine remains in a neutral position. As you pull up, shift your body towards one side, simultaneously extending the opposite arm away from your body and rotating the palm downwards. Slowly return to the starting position with control, and then repeat the exercise on the other side.",Bodyweight
Archer Pull-up (Bodyweight),/exercise/677,https://app.strength.muscleandmotion.com/exercise/677,Latissimus Dorsi,"Biceps Brachii; Brachialis; Brachioradialis; Rhomboid Muscles; Teres Major; Pectoralis Major; Triceps Brachii, Long Head",Abdominal Muscles; Iliacus; Psoas Major,"Archer Pull-Up (Bodyweight) The difference between the classic pull-up and the archer pull-up is the asymmetrical movement. Get into the standard pull-up position with your arms straights. Pull up your body to one side, start to extend the push arm away from you while rotating the palm down. The Archer Pull-Up is a great way to start conditioning for a Single Arm Pull-Up.",Bodyweight
Army Combat Fitness Test,/exercise/893,https://app.strength.muscleandmotion.com/exercise/893,Gluteus Maximus; Quadriceps Femoris,Hamstrings,Erector Spinae; Transversus Abdominis; Latissimus Dorsi; Rhomboid Muscles; Trapezius; Wrist Flexors,,
Arnold Press (Dumbbell),/exercise/1012,https://app.strength.muscleandmotion.com/exercise/1012,Anterior Deltoid; Middle Deltoid; Posterior Deltoid,Serratus Anterior; Upper Trapezius; Lower Trapezius; Triceps Brachii,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,"The Arnold Press exercise is intended to strengthen the Deltoid muscles. The technical difference between the Arnold press and the classic shoulder press is the weights' rotation and the elbows' adduction in front of the body, which naturally create a combined flexion-abduction movement in the shoulder.",Dumbbell
Assault Bike,/exercise/1482,https://app.strength.muscleandmotion.com/exercise/1482,Gluteus Maximus; Quadriceps Femoris; Anterior Deltoid; Triceps Brachii; Latissimus Dorsi; Biceps Brachii,Iliacus; Psoas Major; Psoas Minor; Posterior Deltoid; Hamstrings; Teres Major; Pectoralis Major; Brachialis; Brachioradialis; Coracobrachialis,Abdominal Muscles,"The Assault Bike is a high-intensity cardio tool that combines upper and lower body movement into one seamless effort. Unlike traditional bikes, it uses air resistance, meaning the harder you push, the more resistance you generate. Adjust the seat so your knee stays slightly bent at the bottom of the pedal stroke. Sit upright with your core engaged, hands gripping the handles comfortably. Begin pedaling with your legs while simultaneously pushing and pulling the handles with your arms. The movement should be smooth and coordinated, driven through the legs while the arms work in sync. Maintain a neutral spine, avoid leaning too far forward, and steady your breathing. Use your entire body to generate power, not just your arms or legs. Control your pace based on your training goal: steady rhythm for endurance, or powerful sprints for high-intensity intervals.",
Assisted Handstand Push-up (Box),/exercise/1268,https://app.strength.muscleandmotion.com/exercise/1268,Anterior Deltoid; Middle Deltoid,Triceps Brachii; Serratus Anterior; Pectoralis Major (Respiration); Posterior Deltoid,Transversus Abdominis; Rectus Abdominis; Quadratus Femoris (Hip Rotators) (4),"Assisted Handstand Push-up - Legs on Box The Assisted Handstand Push-up with Legs on Box is an exercise you can use to strengthen your shoulders or as a preparatory exercise for the handstand push-up. Start by standing on your hands and knees, with a box behind your feet. Place your legs on top of the box and keep your torso in line with your arms overhead. Unlock your elbows and slowly bring your head toward the ground by flexing your shoulder. To get back to the starting position push your hands into the floor and extend your elbows as you press back to lockout, and repeat.",
Assisted Handstand Push-up (Straps),/exercise/153,https://app.strength.muscleandmotion.com/exercise/153,Middle Deltoid; Anterior Deltoid,Triceps Brachii; Serratus Anterior; Upper Trapezius; Lower Trapezius,Quadriceps Femoris; Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,The Assisted Handstand Push-up with straps is a great bodyweight exercise to target your shoulder muscles. Kick hard enough to get yourself into a handstand. After you stable yourself in the handstand position begin to bend your elbows to lower yourself toward the mat. Once the top of your head grazes the mat press your body back up by extending your elbows.,Bodyweight; Straps
Assisted One-arm Pull-up,/exercise/1022,https://app.strength.muscleandmotion.com/exercise/1022,Latissimus Dorsi,Teres Major; Posterior Deltoid; Trapezius; Rhomboid Muscles; Triceps Brachii; Biceps Brachii; Brachialis; Brachioradialis,Abdominal Muscles; Pelvic Diaphragm; Diaphragm,"Assisted One-Arm Pull-Ups The Assisted One-arm Pull-Up exercise serves as a preparatory exercise for one-arm pull-up. Begin by hanging from the bar, holding the support pole with one hand (*the pole that supports the bar from the sides). Then, pull your body up and use the second arm for assistance. You can also support the arm with an elastic band and push it down as you ascend.",
Australian Pull-up,/exercise/871,https://app.strength.muscleandmotion.com/exercise/871,Latissimus Dorsi; Biceps Brachii,Teres Major; Posterior Deltoid; Rhomboid Muscles; Trapezius; Brachialis; Brachioradialis,Wrist Flexors; Gluteus Maximus; Hamstrings; Erector Spinae; Abdominal Muscles,"The bodyweight row or Australian pull-up places you “down under” the bar in a horizontal position in order to slightly reduce the load, in comparison to the classic pull-up exercise. Hold the bar, hands in supination, feet on the floor, pull the body up, elbows close to the body, and bring the neck to the bar.",Bodyweight
Back Extension (Bodyweight),/exercise/27,https://app.strength.muscleandmotion.com/exercise/27,Erector Spinae,,Gluteus Maximus; Hamstrings,The Back Extension is a great exercise to strengthen your lower back and posterior chain muscles. Lie facing down on your stomach and straighten your legs behind you. Lift your upper back without lifting your pelvis or hips and keep your head and neck neutral. Hold for a few seconds and return to the starting position. Repeat the desired number of repetitions.,Bodyweight
Back Extension (Roman Chair),/exercise/28,https://app.strength.muscleandmotion.com/exercise/28,Erector Spinae,Quadratus Lumborum; Deep Layer,Hamstrings; Gluteus Maximus; Gastrocnemius,The Back Extension on a Roman Chair is a great exercise for strengthening your lower back and posterior chain muscles. Lean your back forward and slowly extend the back upward; the movement should come from your back and not your hips. Repeat the desired number of repetitions.,
Back Extensions (Stability Ball),/exercise/853,https://app.strength.muscleandmotion.com/exercise/853,Erector Spinae,Transversospinales Muscles; Intersegmental Muscles; Quadratus Lumborum (Respiration),Gluteus Maximus; Hamstrings,"Stability Ball Back Extensions Lie face down on a stability ball, placing your feet on a fixed surface. Extend the spine and flex it back to position.",Stability Ball
Back Lever,/exercise/844,https://app.strength.muscleandmotion.com/exercise/844,Anterior Deltoid; Pectoralis Major; Erector Spinae,Hamstrings; Biceps Brachii; Gluteus Maximus; Brachialis; Brachioradialis; Wrist Extensors,Abdominal Muscles; Erector Spinae; Pectoralis Major; Gluteus Maximus; Hamstrings; Serratus Anterior; Brachioradialis; Biceps Brachii; Brachialis; Wrist Flexors; Wrist Extensors; Quadratus Lumborum; Latissimus Dorsi,"The Back Lever is a challenging exercise. It requires great strength in the shoulder flexors, the elbow flexors and in the muscles facing up (towards the sky) for stabilizing the body. The aim is to attain a position in which the entire body is in a straight line parallel to the floor.",
Back Row (Straps),/exercise/186,https://app.strength.muscleandmotion.com/exercise/186,Latissimus Dorsi,Teres Major; Posterior Deltoid; Rhomboid Muscles; Middle Deltoid; Levator Scapulae; Brachialis; Brachioradialis; Biceps Brachii,Gluteus Maximus; Hamstrings; Erector Spinae; Quadriceps Femoris; Wrist Flexors; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus; Abdominal Muscles; Pelvic Diaphragm,"Row, Back Row (Straps)",Straps
Backward Sled Drag,/exercise/1037,https://app.strength.muscleandmotion.com/exercise/1037,Quadriceps Femoris; Gastrocnemius; Gluteus Maximus; Erector Spinae; Trapezius,Hamstrings; Soleus,Erector Spinae; Trapezius; Rhomboid Muscles; Wrist Flexors; Biceps Brachii; Brachialis; Brachioradialis; Latissimus Dorsi; Posterior Deltoid,"The Backward Sled Drag or Reverse Sled Drag is a variation of the Sled Drag that requires the work of many muscles, particularly the posterior chain muscles and the leg muscles. Stand facing the sled and grasp the handles with both hands. Flex your knees and hips while your back is slightly leaning backward. Start walking backward and maintain a neutral spine position. The Backward Sled Drag can be an extremely beneficial conditioning exercise, or it can be used as a strength-building exercise, depending on how you fit it into your workout routine.",
Balance Lunge with Hop (Straps),/exercise/30,https://app.strength.muscleandmotion.com/exercise/30,Gastrocnemius; Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Levator Scapulae; Upper Trapezius; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,Start by holding the strap handle and standing on one leg. Move the other leg backward and go into a lunge without placing the leg on the ground. Push into the ground with your front leg and go straight to a jump. Repeat the required number of times.,Straps
Band Assisted Pistol Squat,/exercise/1386,https://app.strength.muscleandmotion.com/exercise/1386,Quadriceps Femoris; Gluteus Maximus,Hamstrings; Hip Adductor Muscles; Gastrocnemius; Soleus,Gluteus Medius; Gluteus Minimus; Abdominal Muscles; Erector Spinae,"Attach a resistance band to a pull-up bar and place it beneath your hips. Stand on one leg and hold the resistance band with your hands. Initiate the squat by bending your supporting knee, lowering your body down while maintaining an upright torso as much as possible. Descend until you reach the bottom of the pistol squat position. Push through your heel and stand back up to return to the starting position. Repeat the movement for the desired number of repetitions on one leg, then switch to the other leg.",Resistance Band
Banded Ankle Mobility (Resistance Band),/exercise/896,https://app.strength.muscleandmotion.com/exercise/896,,,,"First, place one foot on a chair, wrap a resistance band over the calf and pull it to stretch the calf forward. Ask a partner to fix the foot (as the video demonstrates), or attach another resistance band on top of the foot (over the Talus bone), in the opposite backwards direction. The resistance band pulls the tibia and fibula into anterior glide while the trainer blocks the talus from moving anteriorly.",Resistance Band
Banded Bridge,/exercise/964,https://app.strength.muscleandmotion.com/exercise/964,Gluteus Maximus; Gluteus Medius,Hamstrings; Quadriceps Femoris,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm; Gluteus Medius; Gluteus Minimus; Piriformis (Hip Rotators) (3); Hip External Rotators (Deep Layer),"Lie on your back with your hands to the sides, your knees bent, and feet flat on the floor under your knees. The spine is in a neutral position. Exhale and pull in the pelvic floor and transverse abdominal muscles. Lift the pelvis and back as one unit without changing the pelvis position and then return to your starting position.",
Banded Deadlift,/exercise/965,https://app.strength.muscleandmotion.com/exercise/965,Gluteus Maximus; Quadriceps Femoris,Hamstrings,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm; Wrist Flexors; Trapezius; Rhomboid Muscles,"The Banded Deadlift is a Deadlift performed with a resistance band attached to the barbell. The resistance becomes more significant the closer you get to the top of the lift due to the band stretch, which requires you to produce more force than you otherwise would have needed as you lock the weight out.",Barbell; Resistance Band
Banded Single Leg Hip Thrust,/exercise/1197,https://app.strength.muscleandmotion.com/exercise/1197,Gluteus Maximus; Gluteus Medius,Hamstrings; Quadriceps Femoris,Erector Spinae; Abdominal Muscles,"Start seated with your knees bent, feet slightly wider than hip-distance apart. The toes can be turned out slightly if needed. The upper back (lower scapula) should be resting against the edge of the bench and in its center. Engage your Glutes and press the band laterally until the hips are aligned with the shoulders and knees. Slowly lower the pelvis until it is just a few inches off the floor.",Bench
Batwing Hold,/exercise/1036,https://app.strength.muscleandmotion.com/exercise/1036,Erector Spinae; Gluteus Maximus; Posterior Deltoid; Splenius Capitis & Cervicis; Trapezius,Hamstrings; Biceps Brachii; Brachialis; Brachioradialis; Rhomboid Muscles,Erector Spinae; Gluteus Maximus; Posterior Deltoid; Splenius Capitis & Cervicis; Multifidus; Diaphragm; Pelvic Diaphragm,"The Batwing Hold is a static exercise that focuses on strengthening the erectors and the entire posterior chain. Enter a prone position on a bench. Hold the weights, pull them up and at the same time extend the back and lift the shoulder girdle and legs from off the bench.",Bench
Bear Crawl,/exercise/1305,https://app.strength.muscleandmotion.com/exercise/1305,Abdominal Muscles; Deltoid; Serratus Anterior; Iliacus; Psoas Major,Tensor Fasciae Latae; Sartorius; Gastrocnemius; Soleus; Quadriceps Femoris,Abdominal Muscles; Triceps Brachii; Erector Spinae; Pelvic Diaphragm; Diaphragm,"From standing, start by bending your hips and placing your arms on the ground with slightly flexed knees. Start to crawl forward by simultaneously moving your hands and the opposite legs in a crawling motion. And make sure your knees don't touch the ground.",
Behind the Neck Shoulder Press (Bar),/exercise/299,https://app.strength.muscleandmotion.com/exercise/299,Anterior Deltoid; Middle Deltoid,"Supraspinatus; Pectoralis Major, Clavicular Head; Triceps Brachii; Serratus Anterior; Upper Trapezius; Lower Trapezius; Anconeus; Posterior Deltoid",Abdominal Muscles; Levator Scapulae; Subscapularis; Infraspinatus; Teres Minor,"Behind the Neck Shoulder Press with a barbell is an exercise designed to strengthen the deltoid muscles. Start by pressing the barbell overhead, extending your arms fully. Keep your head neutral and your torso upright throughout the movement. Once the barbell is fully extended overhead, pause for a moment and then slowly lower it back down behind your neck. Repeat the movement for the desired number of repetitions.",Barbell
